Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
Norges teknisk-naturvitenskapelige universitet;194345;Økonomi og administrasjon, siviløkonom;Trondheim;Økonomisk-administrative fag;Antall kvalifiserte;;1683;1811;2225;2153;2137;54;60,5
Norges teknisk-naturvitenskapelige universitet;194345;Økonomi og administrasjon, siviløkonom;Trondheim;Økonomisk-administrative fag;Antall tilbud;;174;220;231;200;240;54;60,5
OsloMet - storbyuniversitetet;215369;Økonomi og administrasjon;Oslo;Økonomisk-administrative fag;Alle søkere;4385;3948;4404;4769;4800;5357;47,8;52,8
OsloMet - storbyuniversitetet;215369;Økonomi og administrasjon;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;996;873;934;982;1056;1205;47,8;52,8
OsloMet - storbyuniversitetet;215369;Økonomi og administrasjon;Oslo;Økonomisk-administrative fag;Studieplasser;245;245;240;290;300;280;47,8;52,8
OsloMet - storbyuniversitetet;215369;Økonomi og administrasjon;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);39,6 %;47,9 %;44,1 %;39,6 %;40,5 %;44,0 %;47,8;52,8
OsloMet - storbyuniversitetet;215369;Økonomi og administrasjon;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;4172;3784;4133;4488;4509;4990;47,8;52,8
OsloMet - storbyuniversitetet;215369;Økonomi og administrasjon;Oslo;Økonomisk-administrative fag;Antall tilbud;500;520;580;600;610;590;47,8;52,8
OsloMet - storbyuniversitetet;215345;Økonomi og administrasjon - siviløkonom;Oslo;Økonomisk-administrative fag;Alle søkere;;;1932;1757;1745;1668;46,8;51,3
OsloMet - storbyuniversitetet;215345;Økonomi og administrasjon - siviløkonom;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;;;392;343;336;338;46,8;51,3
OsloMet - storbyuniversitetet;215345;Økonomi og administrasjon - siviløkonom;Oslo;Økonomisk-administrative fag;Studieplasser;;;60;95;96;120;46,8;51,3
OsloMet - storbyuniversitetet;215345;Økonomi og administrasjon - siviløkonom;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;41,6 %;45,8 %;47,3 %;49,4 %;46,8;51,3
OsloMet - storbyuniversitetet;215345;Økonomi og administrasjon - siviløkonom;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;;;1435;1364;1319;1226;46,8;51,3
OsloMet - storbyuniversitetet;215345;Økonomi og administrasjon - siviløkonom;Oslo;Økonomisk-administrative fag;Antall tilbud;;;160;180;220;320;46,8;51,3
UiT Norges arktiske universitet;186035;Økonomi og administrasjon, Harstad;Harstad;Økonomisk-administrative fag;Alle søkere;243;186;157;181;143;328;0;0
UiT Norges arktiske universitet;186035;Økonomi og administrasjon, Harstad;Harstad;Økonomisk-administrative fag;Førstevalgssøkere;43;42;30;32;41;70;0;0
UiT Norges arktiske universitet;186035;Økonomi og administrasjon, Harstad;Harstad;Økonomisk-administrative fag;Studieplasser;110;110;110;110;50;60;0;0
UiT Norges arktiske universitet;186035;Økonomi og administrasjon, Harstad;Harstad;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);44,2 %;45,2 %;46,7 %;43,8 %;53,7 %;58,6 %;0;0
UiT Norges arktiske universitet;186035;Økonomi og administrasjon, Harstad;Harstad;Økonomisk-administrative fag;Antall kvalifiserte;216;158;126;157;132;290;0;0
UiT Norges arktiske universitet;186035;Økonomi og administrasjon, Harstad;Harstad;Økonomisk-administrative fag;Antall tilbud;66;44;38;44;45;94;0;0
