Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026
194239;Samfunnsøkonomi, årsstudium;NTNU;Trondheim;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;49,2;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;Trondheim;ØKADM;Ordinær kvote;Hovedopptak;2026;61,5;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;49,8;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;51,2;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;51,9;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;49,4;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;48,4;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2025;54,9;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2024;55;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2023;54,5;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2022;51,6;;;
194818;Samfunnsøkonomi, master;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2021;50,7;;;
194818;Samfunnsøkonomi, master;NTNU;Trondheim;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;50,2;;;
194818;Samfunnsøkonomi, master;NTNU;Trondheim;ØKADM;Ordinær kvote;Hovedopptak;2026;53,9;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;50,4;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;50;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;50;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;48,8;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;48;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2025;57;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2024;56,5;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2023;55,6;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2022;54,2;;;
194898;Samfunnsøkonomi, bachelor;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2021;52,6;;;
194898;Samfunnsøkonomi, bachelor;NTNU;Trondheim;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;50,9;;;
194898;Samfunnsøkonomi, bachelor;NTNU;Trondheim;ØKADM;Ordinær kvote;Hovedopptak;2026;56,7;;;
