Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;2020;2021;2022;2023;2024;2025;2026;Kolonne1
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;50;;50;;;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;48,6;48,6;;;;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;;;;0;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;48,3;;;;;48,3;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;44,6;;;;44,6;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;;0;;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Ordinær kvote;Hovedopptak;2021;51,5;;51,5;;;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Ordinær kvote;Hovedopptak;2020;50,9;50,9;;;;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;Lillehammer;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;36,9;;;;;;;36,9;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;Lillehammer;ØKADM;Ordinær kvote;Hovedopptak;2026;43,7;;;;;;;43,7;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;;0;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;0;;;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;0;0;;;;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;;;;0;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;;;0;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;;;0;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;;0;;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2021;0;;0;;;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2020;0;0;;;;;;;
209369;Økonomi og administrasjon, Rena, bachelor;INN;Åmot;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
209369;Økonomi og administrasjon, Rena, bachelor;INN;Åmot;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;;;;;0;
209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;45,4;;;;;;45,4;;
209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;60,8;;;;;;60,8;;
209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;INN;Åmot;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;48,4;;;;;;;48,4;
209449;Økonomi og administrasjon, Rena, bachelor, nettbasert;INN;Åmot;ØKADM;Ordinær kvote;Hovedopptak;2026;63;;;;;;;63;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;;0;;;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;54,5;;;;;;54,5;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;53,9;;;;;53,9;;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;52,5;;;;52,5;;;;
209515;Økonomi og administrasjon, deltid;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;51,5;;;51,5;;;;;
209515;Økonomi og administrasjon, deltid;INN;Åmot;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
209515;Økonomi og administrasjon, deltid;INN;Åmot;ØKADM;Ordinær kvote;Hovedopptak;2026;53,1;;;;;;;53,1;
211369;Økonomi og administrasjon;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;;0;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;0;;;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;0;0;;;;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;;;;0;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;;;0;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;;;0;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;;0;;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2021;0;;0;;;;;;
211369;Økonomi og administrasjon;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2020;0;0;;;;;;;
211369;Økonomi og administrasjon;HIM;Molde;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
211369;Økonomi og administrasjon;HIM;Molde;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;;;;;0;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;49,3;;;;;;49,3;;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;50,3;;;;;50,3;;;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;50,9;;;;50,9;;;;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2025;55,2;;;;;;55,2;;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2024;55,8;;;;;55,8;;;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2023;55,2;;;;55,2;;;;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;46,8;;;;;;;46,8;
215345;Økonomi og administrasjon - siviløkonom;OSLOMET;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;51,3;;;;;;;51,3;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;47,6;;;;;;47,6;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;48,3;;;;;48,3;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;48,6;;;;48,6;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;49,3;;;49,3;;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;48,6;;48,6;;;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;47,9;47,9;;;;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2025;52,7;;;;;;52,7;;
