Kvote;Lærested;Measure Names;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Measure Values
Ordinær kvote;HVO;Søkere på venteliste;Suppleringsopptak;223 451;Animasjon;Volda;ESTETISK;2020;0
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;43.4
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;22
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;55.7
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;89
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;43.4
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;10
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;55.7
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 609;Antikkens kultur;Oslo;HISTORIE;2020;49
Førstegangsvitnemålskvote;NTNU;Poenggrense;Hovedopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Hovedopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Ordinær kvote;NTNU;Poenggrense;Hovedopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Ordinær kvote;NTNU;Søkere på venteliste;Hovedopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Førstegangsvitnemålskvote;NTNU;Poenggrense;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Ordinær kvote;NTNU;Poenggrense;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Ordinær kvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 459;Antikkens kultur og klassiske fag;Trondheim;HISTORIE;2020;0
Førstegangsvitnemålskvote;OSLOMET;Poenggrense;Hovedopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;43.4
Førstegangsvitnemålskvote;OSLOMET;Søkere på venteliste;Hovedopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;298
Ordinær kvote;OSLOMET;Poenggrense;Hovedopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;54.7
Ordinær kvote;OSLOMET;Søkere på venteliste;Hovedopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;918
Førstegangsvitnemålskvote;OSLOMET;Poenggrense;Suppleringsopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;42.4
Førstegangsvitnemålskvote;OSLOMET;Søkere på venteliste;Suppleringsopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;150
Ordinær kvote;OSLOMET;Poenggrense;Suppleringsopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;54
Ordinær kvote;OSLOMET;Søkere på venteliste;Suppleringsopptak;215 449;Anvendt datateknologi;Oslo;TEKNO - ANNET;2020;512
Førstegangsvitnemålskvote;UIA;Poenggrense;Hovedopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIA;Søkere på venteliste;Hovedopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Ordinær kvote;UIA;Poenggrense;Hovedopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Ordinær kvote;UIA;Søkere på venteliste;Hovedopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIA;Poenggrense;Suppleringsopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIA;Søkere på venteliste;Suppleringsopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Ordinær kvote;UIA;Poenggrense;Suppleringsopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
